Nâng cấp bắt đầu: 18:07:53_28-12-2022
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/banners/language/en.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/banners/language/fr.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/banners/language/vi.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/banners/version.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/comment/action_mysql.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/comment/admin/config.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/comment/admin/edit.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/comment/comment.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/comment/funcs/post.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/comment/language/admin_en.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/comment/language/admin_fr.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/comment/language/admin_vi.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/comment/version.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/contact/admin/config.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/contact/admin/supporter-content.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/contact/funcs/main.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/contact/language/admin_en.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/contact/language/admin_fr.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/contact/language/admin_vi.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/contact/theme.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/contact/version.php | SUCCESS
